,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DCN,232.27498278021548,11.596446421186196,3.5808182032149456,3.2384906920922774,0.001201639418588642,0.038780859745258286
LUM,239.52444482805967,11.417475270717244,3.4905253877937383,3.270990467694006,0.0010717152279164615,0.03569636105290983
SFRP4,63.71654031865891,9.887319316202104,2.1155366230384405,4.6736696536131985,2.9586508834954084e-06,0.0005301086203669704
TPM2,333.7426546953746,9.45012930200863,2.0810727016154127,4.54098950732142,5.599081851737007e-06,0.0008816008879280452
PCOLCE,44.80174593410992,9.438264697871249,1.8701522170073261,5.046789567201457,4.49295734580274e-07,0.0001015017668208306
CFD,743.9442049876641,8.925618714955544,2.1388349865910232,4.173121709207506,3.0045433394451957e-05,0.00332161855143771
ACTG2,23.88776025859645,8.88120193995097,2.418008676990775,3.672940475550184,0.00023977535162490054,0.013355576163601513
FBLN1,51.176178387155524,8.865957725850519,1.5086929273119973,5.876582017022368,4.188239449065938e-09,2.176209217734661e-06
ASPN,21.010934435353448,8.862464921875603,2.41418988529219,3.670989169438499,0.00024161357955707126,0.013355576163601513
COL1A2,88.76583163907335,8.803610012199167,2.380629042810652,3.6980184034910897,0.00021728913874234022,0.013128306568665113
DPT,37.43917223491659,8.75092393156616,2.0379449197493082,4.293994330642963,1.7548695713010705e-05,0.002120535416855898
TNFAIP6,73.89941917256348,8.646842284436996,2.195955821261672,3.937621240243808,8.229335498269524e-05,0.00628818047779536
C1R,50.4360082999396,8.57408562386164,1.9305623635308071,4.441237323295005,8.944308305145829e-06,0.0012087520448899574
CNN1,19.796055724414163,8.553823265748484,1.9036500531112015,4.4933800998606195,7.010149798054946e-06,0.0010407068100198142
CASQ2,18.86678272582289,8.337551437089965,1.987203840776822,4.195619626938078,2.7212660990638688e-05,0.0030738475327686658
EFHD1,18.713797510417187,8.279592934486352,1.6172806244226452,5.119453488439642,3.064223275996457e-07,7.960852071038795e-05
