gene_ids,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMMUG00000041378,7392.453714487282,11.090113985408713,1.8132092697304452,6.116290143970745,9.57788724384443e-10,1.6073258531863827e-07,TG
ENSMMUG00000010000,146.00170886735907,9.58962758895487,1.953595336173145,4.9087072493425286,9.167871168476162e-07,7.771897383338091e-05,KRT7
ENSMMUG00000047859,37.44528666985332,8.778684947283871,1.9942087894689782,4.402089186268944,1.0721346501341316e-05,0.0006038467964419839,SMR3A
ENSMMUG00000012926,58.30045080613172,8.73769742858628,1.6532878150883594,5.285043141819378,1.2567513631126318e-07,1.3779021945166895e-05,MUC15
ENSMMUG00000062598,75.71512119937985,8.588510110553042,1.7185036433371705,4.997667676674209,5.80278753046663e-07,5.0227707224239057e-05,NKX6-2
ENSMMUG00000008711,51.022501648730746,8.403747300678138,1.9803316312781052,4.243606054635588,2.1995634781617765e-05,0.0011096325448419807,CHI3L1
ENSMMUG00000001936,77.96456700516092,8.135759909194949,1.7039980674196031,4.774512403946025,1.8014318061016298e-06,0.0001299401205401202,MAL
ENSMMUG00000021431,102.91906680416757,7.790282935534792,1.5231332905378816,5.114642942892884,3.143349777574599e-07,3.0409135554112856e-05,CLIC3
ENSMMUG00000019713,21.585860588167,7.516479555151094,1.613487880091536,4.658528674367651,3.1847745024213604e-06,0.00020950720586728676,TSHR
ENSMMUG00000063817,20.787702047282238,7.467456566803989,1.6523244202785452,4.519364644834785,6.202548685423433e-06,0.0003722887433593933,SOX9
ENSMMUG00000062078,38.221782338479244,7.4205779750146705,1.4814008266753311,5.009162841949048,5.466730449831616e-07,4.833647794512406e-05,BPIFB1
ENSMMUG00000014691,310.82706542686043,7.337545403180802,1.771284816777564,4.142498898923404,3.43542018314726e-05,0.0016142548666297097,ID4
ENSMMUG00000011220,16.38074997702799,7.167005972518024,2.1170849181475373,3.3853181377293073,0.000710958028473124,0.01685488349171773,PIGR
ENSMMUG00000001415,14.592453257279383,7.053803106345474,1.5525628045571127,4.543328672850472,5.537281235529575e-06,0.0003365068485437157,DIO1
ENSMMUG00000008925,17.26863296150747,7.053299851962044,2.0413752024058227,3.4551707317937024,0.0005499444575786534,0.013914440845136204,BPIFA1
ENSMMUG00000000316,11.046626373404244,6.959714082037533,1.3816809001199677,5.037135623307263,4.7254996706104203e-07,4.3175315323810546e-05,BBOX1
ENSMMUG00000018154,11.272381314575421,6.657547222174281,1.7125836950447682,3.887428825485956,0.00010131168064052763,0.0037358114345608013,CRTAC1
ENSMMUG00000011514,27.393616756242945,6.498219909066784,1.8367323670924873,3.537924210130485,0.0004032857977021896,0.010980857995050016,COCH
ENSMMUG00000001143,95.06787934708765,6.482681687477276,0.8876407372272155,7.303271938293048,2.808527360679039e-13,7.963627754090944e-11,CLDN3
ENSMMUG00000011278,155.7209711989521,6.2342561747754965,0.8160576606782831,7.639479996540644,2.181007866508166e-14,8.967213843148326e-12,CRELD2
ENSMMUG00000008340,10.426640598176455,6.219793881995527,1.7987402081710528,3.4578611484533237,0.0005444819274301573,0.013818749658204269,TNFRSF8
ENSMMUG00000001497,7.943381228970623,6.16529224828498,1.8666993603217166,3.302777286655534,0.000957323874084462,0.021048326782343665,KRT27
ENSMMUG00000007899,17.10489987174011,6.139952006660641,1.0268823665665776,5.979216516483595,2.2421338047156574e-09,3.4786917502220473e-07,GRAMD2B
ENSMMUG00000017225,11.116932932133079,6.09311711732032,1.622938783922543,3.75437273277408,0.0001737761112478167,0.005832493725676721,C16orf89
ENSMMUG00000002218,3.698383652282969,6.026464909156031,0.7770786642286435,7.75528294183462,8.814672401595248e-15,4.0268361754620955e-12,RAP1GAP
ENSMMUG00000017200,5.190624354667301,5.961462886104377,0.8765958420802328,6.800697196962905,1.0411405012965771e-11,2.594332830958107e-09,SALL1
ENSMMUG00000009238,7.994993824215451,5.959933281487707,1.6534673140816114,3.6045062582915617,0.0003127469133627994,0.00935170134029927,IL1RL1
ENSMMUG00000004878,5.371750115354859,5.718340205412584,1.449646218206109,3.9446453442198117,7.991816922790143e-05,0.0031293671693382544,CACNA1I
ENSMMUG00000017834,6.300711305406565,5.656570021581241,0.5865659611805515,9.643536099838714,5.235280598916702e-22,8.609942472978407e-19,SGMS2
ENSMMUG00000012089,7.324579707388899,5.6057165864485405,1.7033918426407975,3.290914307631004,0.0009986232849575807,0.02183957253246326,MLPH
ENSMMUG00000003833,5.424090658792585,5.603280627062675,1.1594464225663383,4.832720613911834,1.3467973287102884e-06,0.0001054734707998543,RASSF6
ENSMMUG00000050904,4.428454441858287,5.576573158630214,0.8930777670401262,6.24421899686554,4.259228930917488e-10,8.338961785460596e-08,TMEM265
