,gene_ids,feature_types,genome,n_cells,highly_variable,reannotated_gene_names,cluster
ZNF692,ENSMMUG00000000634,Gene Expression,crMMulref,1373,False,ZNF692,2
ZNF672,ENSMMUG00000037875,Gene Expression,crMMulref,3164,True,ZNF672,5
SH3BP5L,ENSMMUG00000000632,Gene Expression,crMMulref,1426,True,SH3BP5L,1
ENSMMUG00000064799,ENSMMUG00000064799,Gene Expression,crMMulref,6,False,ENSMMUG00000064799,1
ENSMMUG00000057389,ENSMMUG00000057389,Gene Expression,crMMulref,34,False,LYPD8,1
ENSMMUG00000052613,ENSMMUG00000052613,Gene Expression,crMMulref,757,False,ENSMMUG00000052613,5
OR2M4,ENSMMUG00000038524,Gene Expression,crMMulref,2,False,OR2M4,5
ENSMMUG00000049432,ENSMMUG00000049432,Gene Expression,crMMulref,46,False,OR2T12,2
ENSMMUG00000050812,ENSMMUG00000050812,Gene Expression,crMMulref,47,False,ENSMMUG00000050812,2
ENSMMUG00000064763,ENSMMUG00000064763,Gene Expression,crMMulref,359,False,ENSMMUG00000064763,1
OR2L2,ENSMMUG00000057748,Gene Expression,crMMulref,25,False,OR2L2,2
OR2L5,ENSMMUG00000050041,Gene Expression,crMMulref,38,False,OR2L5,2
ENSMMUG00000052261,ENSMMUG00000052261,Gene Expression,crMMulref,57,False,OR2L8,5
Y_RNA-3,ENSMMUG00000054556,Gene Expression,crMMulref,6,False,Y_RNA,3
ENSMMUG00000062168,ENSMMUG00000062168,Gene Expression,crMMulref,191,False,OR2L8,2
ENSMMUG00000018891,ENSMMUG00000018891,Gene Expression,crMMulref,49,False,ENSMMUG00000018891,3
ENSMMUG00000056262,ENSMMUG00000056262,Gene Expression,crMMulref,23,False,OR2T12,5
TRIM58,ENSMMUG00000005570,Gene Expression,crMMulref,74,False,TRIM58,6
OR11L1,ENSMMUG00000006214,Gene Expression,crMMulref,7,False,OR11L1,4
ENSMMUG00000056211,ENSMMUG00000056211,Gene Expression,crMMulref,20,False,ENSMMUG00000056211,2
ENSMMUG00000058340,ENSMMUG00000058340,Gene Expression,crMMulref,19,False,ENSMMUG00000058340,4
GCSAML,ENSMMUG00000005955,Gene Expression,crMMulref,55,False,GCSAML,5
ENSMMUG00000060427,ENSMMUG00000060427,Gene Expression,crMMulref,33,False,ENSMMUG00000060427,4
NLRP3,ENSMMUG00000005946,Gene Expression,crMMulref,72,False,NLRP3,4
ZNF496,ENSMMUG00000019585,Gene Expression,crMMulref,75,False,ZNF496,5
ENSMMUG00000059322,ENSMMUG00000059322,Gene Expression,crMMulref,763,False,ENSMMUG00000059322,1
ZNF124,ENSMMUG00000004566,Gene Expression,crMMulref,154,False,ZNF124,4
ENSMMUG00000058214,ENSMMUG00000058214,Gene Expression,crMMulref,21,False,ENSMMUG00000058214,6
ENSMMUG00000023311,ENSMMUG00000023311,Gene Expression,crMMulref,609,False,ZNF669,5
ZNF670,ENSMMUG00000050290,Gene Expression,crMMulref,449,False,ZNF670,6
ENSMMUG00000031191,ENSMMUG00000031191,Gene Expression,crMMulref,158,False,ENSMMUG00000031191,4
Metazoa_SRP,ENSMMUG00000061999,Gene Expression,crMMulref,11,False,Metazoa_SRP,5
AHCTF1,ENSMMUG00000016408,Gene Expression,crMMulref,5841,True,AHCTF1,6
SCCPDH,ENSMMUG00000022208,Gene Expression,crMMulref,4768,True,SCCPDH,5
