X,reannotated_gene_names
ZNF692,ZNF692
ZNF672,ZNF672
SH3BP5L,SH3BP5L
ENSMMUG00000064799,ENSMMUG00000064799
ENSMMUG00000057389,LYPD8
ENSMMUG00000052613,ENSMMUG00000052613
OR2M4,OR2M4
ENSMMUG00000049432,OR2T12
ENSMMUG00000050812,ENSMMUG00000050812
ENSMMUG00000064763,ENSMMUG00000064763
OR2L2,OR2L2
OR2L5,OR2L5
ENSMMUG00000052261,OR2L8
Y_RNA-3,Y_RNA
ENSMMUG00000062168,OR2L8
ENSMMUG00000018891,ENSMMUG00000018891
ENSMMUG00000056262,OR2T12
TRIM58,TRIM58
OR11L1,OR11L1
ENSMMUG00000056211,ENSMMUG00000056211
ENSMMUG00000058340,ENSMMUG00000058340
GCSAML,GCSAML
ENSMMUG00000060427,ENSMMUG00000060427
NLRP3,NLRP3
ZNF496,ZNF496
ENSMMUG00000059322,ENSMMUG00000059322
ZNF124,ZNF124
ENSMMUG00000058214,ENSMMUG00000058214
ENSMMUG00000023311,ZNF669
ZNF670,ZNF670
ENSMMUG00000031191,ENSMMUG00000031191
Metazoa_SRP,Metazoa_SRP
AHCTF1,AHCTF1
SCCPDH,SCCPDH
ENSMMUG00000064226,ENSMMUG00000064226
Metazoa_SRP-2,Metazoa_SRP
ENSMMUG00000036728,ENSMMUG00000036728
ENSMMUG00000055981,PSMA3
ENSMMUG00000058124,ENSMMUG00000058124
ENSMMUG00000062580,ENSMMUG00000062580
ID3,ID3
ENSMMUG00000052364,ENSMMUG00000052364
ENSMMUG00000060928,ENSMMUG00000060928
CNST,CNST
TFB2M,TFB2M
SMYD3,SMYD3
NPR1,NPR1
KIF26B,KIF26B
Metazoa_SRP-12,Metazoa_SRP
EFCAB2,EFCAB2
ENSMMUG00000053368,ENSMMUG00000053368
HNRNPU,HNRNPU
COX20,COX20
ENSMMUG00000062648,ENSMMUG00000062648
PSEN2,PSEN2
DESI2,DESI2
ENSMMUG00000058133,ENSMMUG00000058133
COL8A2,COL8A2
CATSPERE,CATSPERE
COQ8A,COQ8A
ADPRS,ADPRS
CIART,CIART
ENSMMUG00000062093,ENSMMUG00000062093
ADSS2,ADSS2
TEKT2,TEKT2
DTL,DTL
ENSMMUG00000058747,ENSMMUG00000058747
Metazoa_SRP-17,Metazoa_SRP
AGO3,AGO3
E2F2,E2F2
ILF2,ILF2
ZBTB18,ZBTB18
PPP2R5A,PPP2R5A
POU3F1,POU3F1
ASAP3,ASAP3
AGO1,AGO1
PACC1,PACC1
DDOST,KIF17
NENF,NENF
AKT3,AKT3
SNAPIN,SNAPIN
SLC6A9,SLC6A9
